rank_energy,language,execution_model,energy_norm,energy_j,energy_kwh,co2_g_global,co2_norm_global,co2_g_brazil,co2_norm_brazil,co2_g_eu,co2_norm_eu,co2_g_us,co2_norm_us
1,C,compiled,1.0,57.86,1.6072222222222223e-05,0.007602161111111111,1.0,0.0016554388888888889,1.0,0.0034233833333333335,1.0,0.006171733333333334,1.0
2,Rust,compiled,1.03,59.5958,1.655438888888889e-05,0.007830225944444444,1.03,0.0017051020555555556,1.03,0.0035260848333333334,1.03,0.006356885333333334,1.03
3,C++,compiled,1.34,77.5324,2.153677777777778e-05,0.01018689588888889,1.34,0.0022182881111111113,1.34,0.004587333666666667,1.34,0.008270122666666668,1.34
4,Ada,compiled,1.7,98.362,2.7322777777777778e-05,0.012923673888888888,1.6999999999999997,0.002814246111111111,1.7,0.005819751666666667,1.7,0.010491946666666667,1.7
5,Java,VM,1.98,114.5628,3.1823e-05,0.015052278999999998,1.9799999999999998,0.003277769,1.98,0.006778298999999999,1.9799999999999995,0.012220031999999999,1.9799999999999998
6,Pascal,compiled,2.14,123.8204,3.4394555555555555e-05,0.01626862477777778,2.14,0.003542639222222222,2.14,0.007326040333333333,2.1399999999999997,0.013207509333333332,2.1399999999999997
7,Chapel,compiled,2.18,126.1348,3.503744444444445e-05,0.016572711222222224,2.18,0.003608856777777778,2.18,0.007462975666666667,2.18,0.013454378666666668,2.18
8,Lisp,VM,2.27,131.3422,3.648394444444444e-05,0.01725690572222222,2.2699999999999996,0.0037578462777777774,2.2699999999999996,0.007771080166666666,2.2699999999999996,0.014009834666666665,2.2699999999999996
9,Ocaml,compiled,2.4,138.864,3.857333333333333e-05,0.018245186666666666,2.4,0.003973053333333333,2.4,0.00821612,2.4,0.01481216,2.4
10,Fortran,compiled,2.52,145.8072,4.0502e-05,0.019157445999999998,2.5199999999999996,0.004171706,2.52,0.008626926,2.52,0.015552768,2.52
11,Swift,compiled,2.79,161.4294,4.4841499999999994e-05,0.021210029499999998,2.7899999999999996,0.004618674499999999,2.7899999999999996,0.0095512395,2.7899999999999996,0.017219135999999996,2.789999999999999
12,Haskell,compiled,3.1,179.366,4.9823888888888894e-05,0.023566699444444447,3.1,0.005131860555555556,3.1,0.010612488333333335,3.1,0.019132373333333334,3.1
13,C#,VM,3.14,181.6804,5.046677777777778e-05,0.023870785888888888,3.1399999999999997,0.005198078111111111,3.1399999999999997,0.010749423666666667,3.14,0.019379242666666668,3.14
14,Go,compiled,3.23,186.8878,5.191327777777778e-05,0.02455498038888889,3.23,0.005347067611111111,3.23,0.011057528166666667,3.23,0.019934698666666667,3.23
15,Dart,interpreted,3.83,221.6038,6.155661111111112e-05,0.029116277055555556,3.83,0.0063403309444444444,3.83,0.013111558166666667,3.83,0.023637738666666668,3.83
16,F#,VM,4.13,238.9618,6.637827777777777e-05,0.031396925388888886,4.13,0.00683696261111111,4.129999999999999,0.014138573166666665,4.129999999999999,0.025489258666666664,4.129999999999999
17,JavaScript,interpreted,4.45,257.477,7.15213888888889e-05,0.03382961694444445,4.450000000000001,0.007366703055555557,4.450000000000001,0.015234055833333336,4.450000000000001,0.027464213333333338,4.45
18,Racket,VM,7.91,457.6726,0.00012713127777777778,0.06013309438888889,7.91,0.013094521611111111,7.91,0.027078962166666665,7.909999999999999,0.048818410666666666,7.909999999999999
19,TypeScript,interpreted,21.5,1243.99,0.0003455527777777778,0.1634464638888889,21.5,0.03559193611111111,21.5,0.07360274166666667,21.5,0.13269226666666667,21.5
20,Hack,interpreted,24.02,1389.7972,0.00038605477777777777,0.1826039098888889,24.02,0.03976364211111111,24.02,0.08222966766666666,24.019999999999996,0.14824503466666666,24.02
21,PHP,interpreted,29.3,1695.298,0.00047091611111111113,0.22274332055555557,29.3,0.04850435944444444,29.3,0.10030513166666667,29.3,0.18083178666666666,29.299999999999997
22,Erlang,VM,42.23,2443.4278,0.0006787299444444444,0.3210392637222222,42.23,0.06990918427777777,42.23,0.14456947816666665,42.23,0.26063229866666665,42.23
23,Lua,interpreted,45.98,2660.4028,0.0007390007777777777,0.34954736788888885,45.98,0.0761170801111111,45.97999999999999,0.15740716566666665,45.98,0.28377629866666665,45.98
24,Jruby,interpreted,46.54,2692.8044,0.0007480012222222223,0.35380457811111116,46.540000000000006,0.0770441258888889,46.540000000000006,0.15932426033333336,46.540000000000006,0.28723246933333335,46.54
25,Ruby,interpreted,69.91,4044.9926,0.0011236090555555554,0.5314670832777777,69.90999999999998,0.1157317327222222,69.90999999999998,0.2393287288333333,69.91,0.4314658773333333,69.91
26,Python,interpreted,75.88,4390.4168,0.0012195602222222221,0.576851985111111,75.87999999999998,0.12561470288888887,75.88,0.2597663273333333,75.88,0.4683111253333333,75.88
27,Perl,interpreted,79.58,4604.4988,0.0012790274444444444,0.6049799812222222,79.58,0.13173982677777776,79.58,0.27243284566666665,79.57999999999998,0.4911465386666667,79.58
